user_id,month,income,food & drink,rent,utilities,travel,entertainment,health & fitness,shopping,other,investment,total_expense,cluster,spender_type
U0001,2026-01,30448,4676,7907,2229,1071,1795,1327,2003,4413,5023,25421,0,Saver
U0001,2026-02,30448,5079,9144,2023,2180,1782,0,1692,3821,4723,25721,0,Saver
U0001,2026-03,30448,5402,8372,1971,2109,1321,0,1999,5570,3699,26744,0,Saver
U0001,2026-04,30448,5502,8060,1573,1431,2019,0,2325,5440,4094,26350,0,Saver
U0001,2026-05,30448,6578,9403,1694,0,1990,1672,2899,1586,4621,25822,0,Saver
U0001,2026-06,30448,7258,7661,1579,1503,1253,1128,2859,3663,3539,26904,0,Saver
U0001,2026-07,30448,4625,8233,2200,1801,1679,1213,2498,896,7298,23145,0,Saver
U0001,2026-08,30448,5695,9349,1615,0,1648,0,2974,3570,5594,24851,0,Saver
U0001,2026-09,30448,6960,9249,2432,0,1209,0,2318,5001,3276,27169,0,Saver
U0001,2026-10,30448,7289,8330,2187,0,1551,838,2664,88,7499,22947,0,Saver
U0001,2026-11,30448,4839,8056,1880,1838,1640,1005,2416,2744,6025,24418,0,Saver
U0001,2026-12,30448,6742,8831,1915,0,1013,1489,2865,2127,5461,24982,0,Saver
U0002,2026-01,26661,4521,9097,2128,0,1689,0,1216,2593,5412,21244,0,Saver
U0002,2026-02,26661,5530,8762,1675,1620,991,1584,1849,892,3754,22903,0,Saver
U0002,2026-03,26661,5489,8865,2121,0,1698,1535,1963,185,4802,21856,0,Saver
U0002,2026-04,26661,5096,7030,1803,1294,1147,0,2296,5288,2704,23954,0,Saver
U0002,2026-05,26661,6250,7408,1460,0,1758,823,2371,3831,2756,23901,0,Saver
U0002,2026-06,26661,5269,7049,2070,0,1615,0,1723,4860,4072,22586,0,Saver
U0002,2026-07,26661,4992,7207,2125,2096,1600,1300,2138,0,5307,21458,0,Saver
U0002,2026-08,26661,5958,8274,1704,1349,981,0,2500,0,6258,20766,0,Saver
U0002,2026-09,26661,5163,7498,1340,1826,1821,1051,1221,199,6538,20119,0,Saver
U0002,2026-10,26661,6542,6870,1457,0,1824,1273,2599,1600,4492,22165,0,Saver
U0002,2026-11,26661,4282,7549,1878,0,1188,1555,2556,4881,2768,23889,0,Saver
U0002,2026-12,26661,4647,7554,2007,1266,1682,0,1230,4661,3611,23047,0,Saver
U0003,2026-01,71128,10814,24240,5324,2942,4472,2884,3488,5812,11147,59976,1,Balanced
U0003,2026-02,71128,15105,20782,5652,2584,2403,0,3649,9499,11451,59674,1,Balanced
U0003,2026-03,71128,11577,24349,4479,4122,3909,2170,4941,0,15908,55547,1,Balanced
U0003,2026-04,71128,16869,22196,4683,0,4014,4184,4249,6810,8120,63005,1,Balanced
U0003,2026-05,71128,16381,21663,4187,3341,3867,2852,4339,0,17056,56630,1,Balanced
U0003,2026-06,71128,13955,19850,5116,0,3718,3002,5746,5320,14418,56707,1,Balanced
U0003,2026-07,71128,15872,18172,4912,5355,4031,0,6605,2387,13791,57334,1,Balanced
U0003,2026-08,71128,15422,20818,3774,0,3970,3536,4499,2536,16569,54555,1,Balanced
U0003,2026-09,71128,16882,20887,4926,0,4141,0,6344,9495,8451,62675,1,Balanced
U0003,2026-10,71128,16268,24157,3887,5334,4625,2737,4552,2031,7533,63591,1,Balanced
U0003,2026-11,71128,15809,20322,4152,5399,3406,2438,6607,0,14998,58133,1,Balanced
U0003,2026-12,71128,12739,21449,5490,0,2269,0,5767,9585,13826,57299,1,Balanced
U0004,2026-01,45901,9644,13749,2936,3015,2999,0,2165,1251,10137,35759,0,Saver
U0004,2026-02,45901,7998,12862,2815,3597,1400,0,2652,7937,6636,39261,0,Saver
U0004,2026-03,45901,7945,12091,2332,0,1415,1297,3368,8895,8554,37343,0,Saver
U0004,2026-04,45901,10967,15069,2896,1804,2284,1172,2081,0,11121,36273,0,Saver
U0004,2026-05,45901,8417,15458,2436,2314,2450,0,2893,3390,8539,37358,0,Saver
U0004,2026-06,45901,8260,14415,3462,0,2020,0,3033,6967,7741,38157,0,Saver
U0004,2026-07,45901,11156,14916,2981,0,1395,1499,2575,5510,5867,40032,0,Saver
U0004,2026-08,45901,9270,14772,2654,0,3174,2107,4255,4760,4906,40992,1,Balanced
U0004,2026-09,45901,8084,13200,2393,0,2076,1636,2668,7159,8682,37216,0,Saver
U0004,2026-10,45901,11239,13826,3199,0,2232,1654,3013,1787,8948,36950,0,Saver
U0004,2026-11,45901,10156,15837,2483,0,1869,0,3554,3347,8652,37246,0,Saver
U0004,2026-12,45901,8878,15121,3133,0,2151,1174,4045,733,10660,35235,0,Saver
U0005,2026-01,93294,17092,30820,5979,0,6055,4729,7745,2907,17963,75327,2,High Spender
U0005,2026-02,93294,15904,29729,6046,5232,4155,5205,8641,0,21648,74912,2,High Spender
U0005,2026-03,93294,15053,24707,4887,4764,3266,0,5591,18244,16778,76512,1,Balanced
U0005,2026-04,93294,21046,24835,6149,0,4154,0,6573,10120,20414,72877,1,Balanced
U0005,2026-05,93294,14195,31994,7369,0,3318,4928,5115,13629,12743,80548,2,High Spender
U0005,2026-06,93294,15130,24237,5653,0,5189,2764,4094,25683,10539,82750,1,Balanced
U0005,2026-07,93294,15270,30080,6584,0,5406,3846,4857,8317,18929,74360,1,Balanced
U0005,2026-08,93294,14587,28722,5186,0,5478,3865,6940,7225,21288,72003,1,Balanced
U0005,2026-09,93294,15786,24882,5089,0,6316,0,6491,18284,16443,76848,1,Balanced
U0005,2026-10,93294,18300,32084,6110,0,3773,0,5480,10547,16996,76294,1,Balanced
U0005,2026-11,93294,21272,27421,5075,0,5090,0,4045,8964,21422,71867,1,Balanced
U0005,2026-12,93294,20082,28281,7317,6717,3467,3994,5906,0,19053,75764,2,High Spender
U0006,2026-01,56066,10731,18986,3490,3268,1913,2101,2255,918,12399,43662,1,Balanced
U0006,2026-02,56066,11191,17742,4411,3898,3392,1526,5509,0,8461,47669,1,Balanced
U0006,2026-03,56066,13992,16967,3495,0,3700,1549,4391,0,13778,44094,1,Balanced
U0006,2026-04,56066,11649,19274,4010,2361,3457,0,2761,904,11647,44416,1,Balanced
U0006,2026-05,56066,12855,16779,3407,2090,2479,3169,4334,4066,6884,49179,1,Balanced
U0006,2026-06,56066,13500,14530,3354,0,2689,0,5045,6726,10219,45844,1,Balanced
U0006,2026-07,56066,10586,19254,3954,0,2602,2320,5140,970,11236,44826,1,Balanced
U0006,2026-08,56066,11850,19098,3848,4070,3781,1205,4015,1666,6528,49533,1,Balanced
U0006,2026-09,56066,13598,19076,3356,0,2023,2252,5273,0,12316,45578,1,Balanced
U0006,2026-10,56066,11060,15185,3331,0,1919,0,2936,12244,9387,46675,1,Balanced
U0006,2026-11,56066,9376,19264,3066,0,1701,0,5490,9813,7352,48710,1,Balanced
U0006,2026-12,56066,9716,15694,3760,2176,2101,0,4017,6238,12361,43702,1,Balanced
U0007,2026-01,29748,5958,10404,1897,1425,1580,1216,1467,2806,2991,26753,0,Saver
U0007,2026-02,29748,6562,8291,1771,952,1922,0,1420,4412,4414,25330,0,Saver
U0007,2026-03,29748,6173,7583,2324,1800,1314,0,2267,1724,6560,23185,0,Saver
U0007,2026-04,29748,5525,9651,2018,0,1294,0,2412,1421,7424,22321,0,Saver
U0007,2026-05,29748,6345,7573,1920,1430,949,0,1738,4778,5011,24733,0,Saver
U0007,2026-06,29748,4866,8716,1549,1105,1068,0,2240,5819,4382,25363,0,Saver
U0007,2026-07,29748,5382,9816,2021,0,1639,1127,1328,4339,4092,25652,0,Saver
U0007,2026-08,29748,6659,7766,2125,2031,1681,709,2816,661,5297,24448,0,Saver
U0007,2026-09,29748,7172,8564,2149,0,1410,0,2786,689,6975,22770,0,Saver
U0007,2026-10,29748,7394,9615,1810,2190,1372,0,2681,543,4140,25605,0,Saver
U0007,2026-11,29748,5371,7649,2171,0,1856,1087,2640,4817,4153,25591,0,Saver
U0007,2026-12,29748,4997,8574,1806,0,2012,0,1196,6804,4356,25389,0,Saver
U0008,2026-01,28602,5128,8037,1904,0,942,721,1437,4436,5993,22605,0,Saver
U0008,2026-02,28602,6788,7981,1781,1660,1868,998,1758,2693,3070,25527,0,Saver
U0008,2026-03,28602,5957,7730,1969,1444,1906,0,1612,1641,6339,22259,0,Saver
U0008,2026-04,28602,5557,8934,1495,1383,1783,0,2413,85,6948,21650,0,Saver
U0008,2026-05,28602,4750,9236,1649,0,1095,1227,1753,1897,6990,21607,0,Saver
U0008,2026-06,28602,6526,9767,1545,0,1141,578,2521,2106,4414,24184,0,Saver
U0008,2026-07,28602,6724,7981,1775,1582,1361,1130,1692,1170,5182,23415,0,Saver
U0008,2026-08,28602,4527,9453,1488,1141,1036,0,2566,1653,6735,21864,0,Saver
U0008,2026-09,28602,5569,8236,2272,0,1691,0,1270,3108,6454,22146,0,Saver
U0008,2026-10,28602,6821,9181,2226,1887,1273,1276,1530,0,6413,24194,0,Saver
U0008,2026-11,28602,7053,7812,1577,1889,1772,992,2276,0,5841,23371,0,Saver
U0008,2026-12,28602,5585,8236,2166,0,1343,0,1545,5933,3791,24808,0,Saver
U0009,2026-01,149740,31039,49039,7938,0,10196,0,8641,6943,35940,113796,2,High Spender
U0009,2026-02,149740,34736,46863,10236,0,10475,7023,9095,12474,18834,130902,2,High Spender
U0009,2026-03,149740,34207,43256,9762,8865,6307,0,12299,15088,19953,129784,2,High Spender
U0009,2026-04,149740,31639,52200,8078,6058,8586,8335,12748,0,34394,127644,2,High Spender
U0009,2026-05,149740,23503,38531,8145,0,4498,3659,11066,23758,36576,113160,2,High Spender
U0009,2026-06,149740,23108,52129,8721,11748,6683,0,12741,0,35176,115130,2,High Spender
U0009,2026-07,149740,32856,51002,10423,6916,7349,6811,12696,0,23645,128053,2,High Spender
U0009,2026-08,149740,22966,39178,7809,6971,6990,3243,6661,28913,27004,122731,2,High Spender
U0009,2026-09,149740,33472,41386,10739,0,6711,4172,14557,10189,28510,121226,2,High Spender
U0009,2026-10,149740,28323,47278,9133,10641,4632,4858,10263,3884,30722,119012,2,High Spender
U0009,2026-11,149740,35871,38504,9744,4664,10084,8907,8215,14285,19461,130274,2,High Spender
U0009,2026-12,149740,35576,41968,9209,0,6609,7131,14047,18538,16658,133078,2,High Spender
U0010,2026-01,146048,28257,50811,7412,7331,6661,0,6363,11828,27382,118663,2,High Spender
U0010,2026-02,146048,30349,46922,8488,0,9630,0,13263,13557,23836,122209,2,High Spender
U0010,2026-03,146048,30610,39842,10763,10272,7920,5562,14494,0,31056,119463,2,High Spender
U0010,2026-04,146048,23983,51040,8983,0,7060,3726,12200,12560,26493,119552,2,High Spender
U0010,2026-05,146048,31891,44147,11119,8280,4418,0,8378,5798,32013,114031,2,High Spender
U0010,2026-06,146048,31156,46100,8014,0,6612,0,7162,17736,29264,116780,2,High Spender
U0010,2026-07,146048,29086,50563,9978,5552,4770,8037,8464,0,30952,116450,2,High Spender
U0010,2026-08,146048,30447,39264,11431,6669,7249,7687,13737,8068,21491,124552,2,High Spender
U0010,2026-09,146048,23315,47320,11189,0,9673,3379,10751,15322,25096,120949,2,High Spender
U0010,2026-10,146048,30088,42265,10707,5086,7243,6476,8981,13656,21543,124502,2,High Spender
U0010,2026-11,146048,27679,37415,8590,4413,6308,7471,6603,15353,32213,113832,2,High Spender
U0010,2026-12,146048,33001,40925,7480,0,5614,0,5880,17911,35233,110811,2,High Spender
U0011,2026-01,61603,9710,20747,3846,4450,2814,2619,6131,1603,9679,51920,1,Balanced
U0011,2026-02,61603,15253,18638,3963,0,2189,0,3997,3352,14208,47392,1,Balanced
U0011,2026-03,61603,10053,18911,4054,0,2670,3586,3668,12164,6493,55106,1,Balanced
U0011,2026-04,61603,10324,18534,4102,2465,2968,0,2838,13962,6407,55193,1,Balanced
U0011,2026-05,61603,11135,18298,3561,0,2950,0,5916,12635,7105,54495,1,Balanced
U0011,2026-06,61603,12922,16998,4265,0,3843,0,4457,5031,14084,47516,1,Balanced
U0011,2026-07,61603,13660,18422,4479,2220,3620,2359,5699,0,15273,50459,1,Balanced
U0011,2026-08,61603,13688,18219,4774,4274,3900,0,5637,387,10721,50879,1,Balanced
U0011,2026-09,61603,10435,19548,3551,0,3959,0,4564,4817,14726,46874,1,Balanced
U0011,2026-10,61603,13835,20632,4266,2747,3002,0,2817,3176,11124,50475,1,Balanced
U0011,2026-11,61603,13334,15476,3788,4654,2941,0,4112,7618,9676,51923,1,Balanced
U0011,2026-12,61603,14281,19365,4391,0,3427,0,5877,6935,7325,54276,1,Balanced
U0012,2026-01,64168,13931,22437,3410,4597,2818,2851,4817,0,13347,54861,1,Balanced
U0012,2026-02,64168,12511,22174,3337,0,3914,3813,5066,0,14058,50815,1,Balanced
U0012,2026-03,64168,12351,19182,4859,0,4003,3820,5068,6913,7968,56196,1,Balanced
U0012,2026-04,64168,14510,17793,4554,2821,3924,2204,5379,2447,10532,53632,1,Balanced
U0012,2026-05,64168,15972,20068,4783,2447,2845,0,4363,3680,10005,54158,1,Balanced
U0012,2026-06,64168,13035,17341,4240,0,4227,3612,3325,9233,9152,55013,1,Balanced
U0012,2026-07,64168,9874,20185,3241,2163,3843,1978,4229,3044,15607,48557,1,Balanced
U0012,2026-08,64168,11720,17948,3599,2629,3296,3540,4807,3097,13528,50636,1,Balanced
U0012,2026-09,64168,15042,21509,4907,0,3783,0,5578,0,14896,50819,1,Balanced
U0012,2026-10,64168,10427,19957,3374,2418,2338,0,3076,11047,11526,52637,1,Balanced
U0012,2026-11,64168,11045,17592,5091,3690,2267,1685,2992,9363,10437,53725,1,Balanced
U0012,2026-12,64168,15105,20961,3228,0,4474,0,3369,1585,15443,48722,1,Balanced
